county,state,2020 Democrat vote raw,2020 Republican vote raw,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Mean income (dollars),Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation,Label (County),Label (State)
Autauga County,alabama,7503,19838,1.7,7.9,31.1,21.0,8.7,16.7,12.8,0.4541,90.372,38.17,58805,3.6,70.71,19.3,36.39,14.24,22.02,9.99,17.36,Republican,Republican
Baldwin County,alabama,24578,83544,2.0,6.4,27.8,21.7,9.6,20.0,12.5,0.4648,96.027,56.69,231767,5.47,80.47,7.77,35.62,17.14,24.2,9.91,13.13,Republican,Republican
Barbour County,alabama,4816,5622,7.3,16.2,36.8,19.9,7.9,6.6,5.3,0.5098,60.128,10.85,25223,5.99,43.95,46.98,27.73,20.16,19.49,12.53,20.09,Republican,Republican
Bibb County,alabama,1986,7525,6.4,14.7,40.9,19.1,8.0,6.6,4.3,0.4553,65.131,13.8,22293,3.32,73.75,19.69,22.22,15.32,20.57,16.43,25.47,Republican,Republican
Blount County,alabama,2640,24711,7.1,11.1,35.3,20.7,11.0,9.4,5.3,0.4475,75.954,35.37,59134,9.76,84.15,1.4,26.75,12.98,22.73,15.81,21.73,Republican,Republican
Bullock County,alabama,3446,1146,9.9,16.7,41.3,19.5,3.2,6.9,2.5,0.5058,52.269,6.4,10357,4.86,22.02,71.33,20.73,18.19,9.83,16.88,34.38,Democrat,Republican
Butler County,alabama,3965,5458,3.9,8.5,48.0,19.1,7.4,7.8,5.3,0.4837,65.988,9.43,19051,1.36,50.81,44.03,25.04,15.28,22.62,10.47,26.59,Republican,Republican
Calhoun County,alabama,15216,35101,4.4,10.5,34.6,23.2,8.1,11.5,7.6,0.4519,69.213,74.02,116441,4.3,68.29,21.78,29.79,18.19,21.0,9.92,21.1,Republican,Republican
Chambers County,alabama,6365,8753,5.8,10.8,39.5,20.3,10.9,9.2,3.5,0.4371,64.377,22.4,34772,3.56,53.54,38.65,26.71,17.74,17.31,9.73,28.51,Republican,Republican
Cherokee County,alabama,1624,10583,6.6,11.5,36.1,19.3,12.0,8.3,6.3,0.4484,65.664,17.49,24971,1.6,90.36,3.95,34.57,16.41,16.83,11.98,20.21,Republican,Republican
Chilton County,alabama,3073,16085,5.9,11.9,41.6,19.1,7.5,8.2,5.8,0.4211,73.65,25.16,45014,9.81,77.48,8.97,22.82,14.88,19.57,20.95,21.79,Republican,Republican
Choctaw County,alabama,3127,4296,6.4,11.2,38.2,21.5,9.7,9.6,3.4,0.4675,61.685,5.35,12665,0.89,55.58,41.19,21.51,16.13,26.15,15.78,20.43,Republican,Republican
Clarke County,alabama,5755,7324,4.9,13.7,41.0,19.6,7.0,8.4,5.4,0.529,71.413,7.19,23087,0.89,51.85,44.28,27.31,15.15,24.33,11.38,21.83,Republican,Republican
Clay County,alabama,1267,5601,5.0,11.6,37.4,21.3,11.8,9.2,3.6,0.48,69.549,9.08,14236,3.15,79.1,13.64,33.48,10.76,15.37,11.62,28.77,Republican,Republican
Cleburne County,alabama,675,6484,5.2,12.3,39.0,19.5,7.6,11.0,5.5,0.4724,71.645,10.44,15056,1.89,91.26,3.04,28.65,14.95,17.71,16.62,22.07,Republican,Republican
Coffee County,alabama,5076,16899,4.5,8.9,28.9,23.0,13.1,13.1,8.5,0.4354,78.477,30.46,53465,9.14,66.88,16.17,31.19,18.76,18.69,14.03,17.33,Republican,Republican
Colbert County,alabama,8343,19203,3.6,10.1,36.6,23.3,8.4,11.2,6.8,0.4488,71.46,37.29,57227,3.03,75.56,16.11,33.73,17.14,18.68,9.82,20.63,Republican,Republican
Conecuh County,alabama,2966,3442,2.9,7.7,48.3,19.8,8.1,7.7,5.7,0.4639,56.23,5.26,11597,2.21,50.31,43.94,24.22,13.26,22.84,7.16,32.53,Republican,Republican
Coosa County,alabama,1796,3631,3.7,12.8,41.4,22.1,9.3,7.2,3.5,0.4216,69.81,6.13,10387,1.94,65.53,28.88,23.97,15.51,22.62,14.06,23.84,Republican,Republican
Covington County,alabama,2721,14586,4.4,9.8,36.3,21.4,11.8,9.8,6.5,0.4908,69.704,14.07,37570,1.74,81.6,12.15,31.23,15.69,19.19,12.41,21.48,Republican,Republican
Crenshaw County,alabama,1700,4864,6.8,11.1,42.5,14.4,8.0,11.9,5.3,0.5581,78.621,8.37,13194,1.42,70.74,23.38,24.61,15.04,20.69,12.02,27.63,Republican,Republican
Cullman County,alabama,4478,36880,4.6,10.8,31.4,23.6,11.4,12.1,6.2,0.4425,75.873,46.39,87866,4.72,89.11,1.04,28.55,16.72,22.62,13.6,18.51,Republican,Republican
Dale County,alabama,5170,14303,4.5,9.8,31.3,25.1,10.1,12.9,6.2,0.4432,67.432,34.03,49326,6.6,66.09,20.48,28.07,18.61,20.68,14.03,18.61,Republican,Republican
Dallas County,alabama,12230,5524,3.4,11.2,39.7,19.4,10.6,10.1,5.6,0.4894,53.213,15.12,38462,0.77,26.94,69.71,26.64,15.72,22.62,9.13,25.89,Democrat,Republican
DeKalb County,alabama,4281,24767,11.1,11.1,31.8,20.6,11.2,8.3,5.9,0.4555,64.545,35.62,71608,16.4,76.15,1.42,26.77,16.24,16.74,14.55,25.7,Republican,Republican
Elmore County,alabama,10367,30164,3.4,8.1,33.8,20.7,9.9,15.8,8.4,0.4189,90.524,54.74,87977,3.17,71.09,20.6,38.57,14.54,23.79,8.72,14.38,Republican,Republican
Escambia County,alabama,4918,10869,4.6,13.2,44.4,16.9,8.5,8.5,4.0,0.4673,55.542,15.01,36757,2.04,59.86,29.71,24.99,20.35,21.4,12.23,21.04,Republican,Republican
Etowah County,alabama,11567,35528,4.0,9.9,33.4,24.2,10.8,10.8,6.9,0.4556,69.693,74.57,103436,4.73,75.15,14.5,29.8,16.75,21.12,9.98,22.35,Republican,Republican
Fayette County,alabama,1395,7300,6.4,9.8,39.8,23.1,7.8,8.3,4.8,0.4876,66.681,10.02,16321,2.43,83.03,10.54,23.71,14.17,17.76,11.05,33.31,Republican,Republican
Franklin County,alabama,2086,10376,6.1,13.8,40.1,18.1,7.1,10.3,4.5,0.4441,63.747,19.5,32113,19.49,73.43,3.55,24.97,14.77,16.68,13.63,29.94,Republican,Republican
Geneva County,alabama,1595,10848,6.3,10.3,36.7,21.8,11.0,9.7,4.2,0.4363,63.491,17.91,26659,4.86,81.23,8.37,31.9,16.76,19.64,15.01,16.69,Republican,Republican
Greene County,alabama,3884,875,2.8,15.3,37.1,20.4,7.6,10.6,6.1,0.4702,48.095,4.6,7730,0.79,16.62,80.56,28.41,14.69,13.76,16.86,26.28,Democrat,Republican
Hale County,alabama,4687,3190,5.2,14.3,37.8,17.5,8.9,10.8,5.6,0.5119,59.052,8.84,14785,1.01,40.39,56.23,37.88,18.2,17.17,7.4,19.34,Democrat,Republican
Henry County,alabama,2606,6607,5.8,12.7,32.8,18.7,9.1,14.0,7.0,0.4655,73.705,11.88,17146,1.95,69.07,24.68,31.69,15.98,22.21,11.73,18.39,Republican,Republican
Houston County,alabama,12917,32618,3.6,8.8,32.0,23.5,9.7,14.3,8.1,0.4833,78.415,71.28,107202,4.18,63.67,26.34,33.54,18.09,23.19,9.28,15.91,Republican,Republican
Jackson County,alabama,3717,19670,5.2,12.8,37.4,19.2,9.3,10.2,5.9,0.4574,65.829,18.85,52579,3.2,85.82,3.09,31.92,13.58,17.08,13.24,24.18,Republican,Republican
Jefferson County,alabama,181688,138843,2.5,6.5,26.1,21.2,8.2,21.2,14.4,0.5049,93.745,233.52,674721,5.17,48.06,41.52,42.14,15.99,21.03,6.98,13.85,Democrat,Republican
Lamar County,alabama,978,6174,7.0,11.0,40.9,20.5,10.4,6.1,4.1,0.4259,62.422,8.86,13972,1.49,85.34,10.17,27.5,13.03,20.03,9.83,29.6,Republican,Republican
Lauderdale County,alabama,11915,31721,3.0,8.3,34.9,20.0,8.1,16.1,9.8,0.4618,76.624,54.52,93564,3.29,81.75,9.79,30.11,17.08,24.71,10.2,17.9,Republican,Republican
Lawrence County,alabama,3562,12322,5.7,11.6,41.1,18.5,7.3,10.1,5.7,0.4483,72.948,18.51,33073,2.71,74.73,9.98,30.97,14.63,17.11,12.27,25.03,Republican,Republican
Lee County,alabama,27860,42221,2.4,5.9,21.7,20.6,9.2,22.1,18.0,0.513,84.719,111.29,174241,5.24,63.01,22.53,44.78,16.74,18.25,7.41,12.82,Republican,Republican
Limestone County,alabama,13672,34640,4.3,8.4,27.8,20.9,9.1,18.9,10.7,0.4272,99.315,71.41,103570,7.0,73.08,12.72,40.26,12.95,19.13,10.35,17.31,Republican,Republican
Lowndes County,alabama,4972,1836,4.8,11.9,41.6,15.3,10.1,10.5,5.8,0.5197,55.548,5.47,10311,1.36,27.22,69.33,24.52,12.99,20.23,10.33,31.93,Democrat,Republican
Macon County,alabama,7108,1541,3.8,13.5,31.7,23.0,7.5,10.7,9.8,0.4853,57.338,12.18,19532,1.85,16.32,78.82,30.22,24.99,18.55,5.61,20.63,Democrat,Republican
Madison County,alabama,87286,102780,2.2,5.5,19.0,20.5,7.6,26.8,18.3,0.4695,76.763,187.74,388153,6.42,61.19,23.46,50.42,13.56,18.44,6.24,11.34,Republican,Republican
Marengo County,alabama,5488,5343,3.1,7.8,35.6,21.9,9.6,12.7,9.2,0.5163,65.484,7.58,19323,1.9,43.34,52.44,29.48,18.66,20.09,11.41,20.35,Democrat,Republican
Marion County,alabama,1463,12205,6.1,13.2,35.5,21.7,11.6,7.1,4.7,0.4443,62.389,15.19,29341,2.94,88.93,3.73,29.37,14.69,17.06,13.47,25.4,Republican,Republican
Marshall County,alabama,5943,33191,6.5,9.1,31.9,20.2,10.9,14.5,6.9,0.4567,77.5,66.82,97612,16.04,76.49,2.35,33.17,16.06,18.92,10.9,20.95,Republican,Republican
Mobile County,alabama,79474,101243,2.8,9.1,34.1,21.0,8.8,15.7,8.6,0.4694,75.532,129.98,414809,3.24,54.65,35.06,34.47,17.36,20.82,10.73,16.62,Republican,Republican
Monroe County,alabama,4455,6147,3.5,12.8,44.0,17.5,8.7,7.8,5.7,0.4773,57.487,7.46,19772,1.05,52.27,41.74,23.94,17.96,20.71,12.75,24.65,Republican,Republican
Montgomery County,alabama,64529,33311,3.6,8.4,25.6,21.1,7.6,19.5,14.2,0.495,79.962,112.16,228954,4.67,32.04,56.69,37.13,16.84,22.57,5.76,17.69,Democrat,Republican
Morgan County,alabama,13234,39664,6.0,8.8,30.8,21.6,9.0,15.9,7.9,0.4491,82.6,81.99,123421,10.03,71.49,12.4,33.11,14.52,19.98,11.51,20.87,Republican,Republican
Perry County,alabama,3860,1339,6.6,13.8,42.9,16.1,5.3,10.1,5.1,0.3953,41.226,4.55,8511,1.05,27.55,69.49,26.68,17.12,21.38,7.95,26.86,Democrat,Republican
Pickens County,alabama,4022,5594,6.4,8.6,41.1,20.1,9.2,9.0,5.5,0.4814,66.279,8.29,19123,5.51,52.64,38.95,31.66,15.88,15.05,12.37,25.04,Republican,Republican
Pike County,alabama,5636,8042,3.1,9.0,36.2,18.5,5.4,15.7,12.0,0.5191,67.849,18.96,33009,2.74,54.64,36.56,34.31,18.24,21.61,7.76,18.09,Republican,Republican
Randolph County,alabama,2203,8559,6.1,11.9,34.9,18.4,10.0,12.1,6.7,0.4697,67.742,14.75,21967,2.75,75.7,17.36,31.37,14.69,17.62,9.06,27.26,Republican,Republican
Russell County,alabama,11228,9864,5.5,9.3,29.6,26.0,13.3,10.3,6.1,0.4664,62.441,35.44,59183,5.4,45.08,43.81,29.06,15.75,22.98,10.74,21.48,Democrat,Republican
Shelby County,alabama,33268,79700,2.0,4.2,20.2,20.1,7.9,29.8,15.8,0.4441,76.763,110.07,223024,7.38,72.96,12.87,47.53,13.25,21.44,7.79,9.99,Republican,Republican
St. Clair County,alabama,7744,36166,4.1,8.7,35.5,23.2,9.2,13.3,6.0,0.4081,88.263,56.07,91103,2.83,82.28,9.46,35.05,15.3,22.27,11.92,15.45,Republican,Republican
Sumter County,alabama,4648,1598,2.5,8.6,32.2,27.7,7.1,12.3,9.5,0.4823,49.122,5.21,12345,1.06,23.79,72.54,25.33,20.05,23.66,11.58,19.38,Democrat,Republican
Talladega County,alabama,13138,22235,4.5,12.3,34.9,23.9,7.8,9.8,6.8,0.4797,70.872,42.5,82149,2.17,61.76,32.06,27.82,15.19,20.44,11.45,25.1,Republican,Republican
Tallapoosa County,alabama,5859,14963,5.1,13.0,32.1,22.6,9.0,11.4,6.7,0.4892,71.359,22.23,41311,2.77,68.39,25.09,25.64,16.45,23.37,12.62,21.92,Republican,Republican
Tuscaloosa County,alabama,37765,51117,2.5,6.8,29.4,21.4,9.0,18.2,12.7,0.4713,82.543,67.69,227036,5.42,59.41,30.29,37.35,15.53,20.14,8.89,18.09,Republican,Republican
Walker County,alabama,4834,26002,5.3,12.1,34.8,21.6,11.0,9.4,5.9,0.4543,68.336,31.72,65342,3.29,86.31,5.95,27.89,17.5,21.53,12.83,20.24,Republican,Republican
Washington County,alabama,2258,6564,2.8,8.9,43.8,22.7,7.5,6.7,7.5,0.4965,76.832,5.52,15388,0.9,66.72,21.56,31.9,16.86,14.59,13.54,23.1,Republican,Republican
Wilcox County,alabama,4048,1833,5.7,16.6,40.4,20.5,5.2,7.8,3.8,0.4578,50.522,4.54,10600,1.06,27.04,70.05,24.19,15.31,21.76,16.62,22.12,Democrat,Republican
Winston County,alabama,974,10195,5.9,14.0,40.4,18.4,7.5,8.1,5.7,0.4547,66.201,14.9,23540,3.46,91.75,0.56,27.5,11.07,19.1,13.67,28.65,Republican,Republican
Aleutians East Borough,alaska,180,336,9.8,9.2,39.4,18.7,6.1,12.7,4.3,0.3727,88.309,0.19,3420,19.71,19.24,8.68,21.91,8.68,11.19,14.23,43.99,Republican,Republican
Aleutians West Census Area,alaska,692,551,6.2,4.2,41.3,25.2,7.5,13.2,2.3,0.3254,76.763,0.46,5232,12.77,30.29,4.91,16.1,14.55,14.67,12.48,42.2,Democrat,Republican
Anchorage Municipality,alaska,70933,68189,2.1,3.7,24.5,24.1,8.6,23.0,14.0,0.4291,76.763,65.75,291247,9.08,54.33,4.73,41.74,18.14,20.81,8.1,11.21,Democrat,Republican
Bethel Census Area,alaska,3085,1670,6.3,11.0,47.9,17.9,7.3,5.3,4.4,0.4603,85.288,0.18,18666,1.11,8.72,0.45,31.36,18.39,23.32,12.54,14.39,Democrat,Republican
Bristol Bay Borough,alaska,193,304,2.0,3.0,28.3,31.9,8.5,21.9,4.4,0.4087,76.763,0.68,844,5.33,42.3,0.71,35.53,13.65,19.76,16.94,14.12,Republican,Republican
Chugach Census Area,alaska,1395,1938,1.8,3.7,23.8,27.8,11.5,20.3,11.2,0.3721,76.763,0.28,7102,5.59,67.14,0.65,40.55,15.01,14.05,18.0,12.39,Republican,Republican
Copper River Census Area,alaska,480,1130,2.1,5.5,29.1,28.9,6.4,19.0,9.0,0.4125,88.145,0.04,2617,3.21,60.79,0.23,39.5,18.51,19.4,16.73,5.87,Republican,Republican
Denali Borough,alaska,478,637,1.1,2.2,46.8,16.3,8.4,13.7,11.5,0.3805,98.536,0.06,1619,1.98,85.11,0.56,24.85,16.44,6.77,41.22,10.71,Republican,Republican
Dillingham Census Area,alaska,984,822,4.1,7.8,41.6,19.5,6.5,11.3,9.1,0.4092,86.298,0.1,4857,3.01,15.85,0.39,41.76,18.91,13.8,14.01,11.52,Democrat,Republican
Fairbanks North Star Borough,alaska,18138,24917,1.9,3.5,25.3,26.7,9.7,19.6,13.3,0.4242,76.763,5.07,95655,7.65,66.05,3.98,38.43,19.2,21.23,10.22,10.92,Republican,Republican
Haines Borough,alaska,1579,986,0.8,1.5,34.4,25.1,4.4,16.8,16.9,0.4181,76.099,0.34,2080,3.22,75.82,0.1,36.6,19.85,16.87,17.49,9.18,Democrat,Republican
Hoonah-Angoon Census Area,alaska,1645,577,0.7,5.3,33.6,23.2,9.6,20.4,7.1,0.4693,84.2,0.14,2365,5.07,47.48,0.25,43.06,15.23,16.77,10.64,14.3,Democrat,Republican
Juneau City and Borough,alaska,10834,6210,1.0,3.5,22.1,23.4,9.2,25.8,14.9,0.4037,76.763,4.58,32255,6.44,60.99,1.02,44.35,16.2,18.71,11.13,9.61,Democrat,Republican
Kenai Peninsula Borough,alaska,10965,21761,1.6,4.2,30.8,26.5,8.9,17.6,10.4,0.454,99.127,1.43,58799,3.96,77.46,0.61,38.84,18.75,15.62,14.41,12.38,Republican,Republican
Ketchikan Gateway Borough,alaska,2467,3985,1.1,4.1,28.5,31.2,6.6,19.3,9.2,0.4376,76.763,1.11,13948,4.66,58.94,0.72,35.69,20.87,19.87,11.17,12.4,Republican,Republican
Kodiak Island Borough,alaska,2523,3756,4.3,4.5,29.0,24.2,9.5,19.2,9.3,0.4005,76.763,0.75,13101,7.82,48.02,0.65,29.76,17.49,18.88,11.96,21.91,Republican,Republican
Kusilvak Census Area,alaska,1209,569,3.9,14.7,55.7,18.2,2.9,4.0,0.6,0.4451,57.035,0.19,8368,0.17,2.07,0.19,26.43,23.86,20.51,10.91,18.3,Democrat,Republican
Lake and Peninsula Borough,alaska,358,234,3.8,5.4,45.0,23.0,7.2,8.6,6.9,0.3936,72.594,0.02,1476,2.3,20.12,0.07,36.76,20.12,10.06,22.18,10.88,Democrat,Republican
Matanuska-Susitna Borough,alaska,12849,38492,1.7,4.0,33.2,26.3,11.1,15.3,8.4,0.4189,76.763,1.7,107081,4.9,75.69,0.99,36.08,17.47,18.72,16.95,10.78,Republican,Republican
Nome Census Area,alaska,2131,1287,3.3,8.5,43.4,23.1,3.4,7.8,10.5,0.4439,89.721,0.17,10046,1.85,13.87,0.52,41.24,18.5,19.96,9.12,11.18,Democrat,Republican
North Slope Borough,alaska,1134,1197,2.8,6.5,43.0,24.7,8.7,9.5,4.7,0.443,76.763,0.05,11031,4.97,26.87,1.44,31.36,13.08,15.79,23.19,16.58,Republican,Republican
Northwest Arctic Borough,alaska,1031,735,4.1,9.9,46.2,20.5,4.2,10.0,5.1,0.4208,96.03,0.08,7793,1.31,8.78,0.91,36.85,12.01,17.52,18.81,14.82,Democrat,Republican
Petersburg Borough,alaska,534,1002,8.7,4.3,31.8,22.3,8.0,17.7,7.1,0.4251,96.77,0.45,3398,4.83,71.92,1.35,24.37,20.78,20.84,13.53,20.48,Republican,Republican
Prince of Wales-Hyder Census Area,alaska,2321,1930,1.3,6.2,36.4,28.1,8.6,13.6,5.8,0.425,80.427,0.43,5753,2.78,41.16,0.37,33.55,17.45,20.95,13.08,14.97,Democrat,Republican
Sitka City and Borough,alaska,2124,1745,2.0,2.8,25.8,25.4,9.9,22.9,11.3,0.3721,76.763,1.14,8458,5.92,59.71,0.44,40.71,15.93,22.64,10.99,9.73,Democrat,Republican
Skagway Municipality,alaska,679,217,5.3,2.1,34.0,24.4,6.4,22.1,5.8,0.3547,91.563,1.16,1240,3.31,85.16,0.48,28.19,25.87,25.48,8.11,12.36,Democrat,Republican
Southeast Fairbanks Census Area,alaska,748,2823,2.1,4.2,36.6,27.8,9.5,13.7,6.1,0.4239,85.484,0.11,6808,5.52,73.34,1.0,28.37,23.95,13.79,18.9,14.99,Republican,Republican
Wrangell City and Borough,alaska,396,827,1.7,11.2,33.4,26.0,9.6,13.9,4.1,0.4125,80.656,0.32,2127,3.57,63.05,0.0,36.44,15.83,15.09,15.46,17.18,Republican,Republican
Yakutat City and Borough,alaska,160,133,1.0,5.0,43.6,29.2,10.3,9.6,1.3,0.2936,89.58,0.03,662,4.38,37.46,0.3,28.57,19.88,14.6,8.39,28.57,Democrat,Republican
Yukon-Koyukuk Census Area,alaska,1740,965,4.4,8.6,38.9,29.0,5.0,9.6,4.5,0.4639,62.362,0.01,5343,1.35,20.98,0.11,34.18,15.44,20.61,13.23,16.54,Democrat,Republican
Apache County,arizona,23293,11442,7.0,9.0,32.5,28.6,9.2,8.2,5.6,0.5144,53.624,2.28,66021,5.85,20.89,0.28,31.63,21.31,21.21,13.58,12.26,Democrat,Democrat
Cochise County,arizona,23732,35557,4.6,6.5,25.1,25.6,11.4,16.6,10.0,0.4384,75.274,7.8,125447,33.97,54.41,3.48,36.57,22.95,21.3,9.7,9.49,Republican,Democrat
Coconino County,arizona,44698,27052,3.3,5.3,21.0,22.2,8.6,23.3,16.3,0.4603,89.188,3.0,145101,14.97,53.0,1.22,40.44,22.23,19.53,7.92,9.89,Democrat,Democrat
Gila County,arizona,8943,18377,2.7,10.2,30.6,28.3,10.2,11.8,6.2,0.4389,69.681,4.34,53272,17.43,61.49,0.45,31.75,24.2,18.87,13.65,11.52,Republican,Democrat
Graham County,arizona,4034,10749,4.3,11.1,30.4,29.1,11.1,9.0,5.0,0.4057,74.766,3.21,38533,29.66,52.94,1.18,28.66,20.95,19.38,18.47,12.54,Republican,Democrat
Greenlee County,arizona,1182,2433,4.8,9.3,32.4,29.9,7.0,13.2,3.5,0.3756,79.905,1.99,9563,45.76,46.49,0.84,28.01,19.43,9.72,28.3,14.54,Republican,Democrat
La Paz County,arizona,2236,5129,6.0,11.4,32.8,28.5,8.9,8.4,4.0,0.4817,62.044,1.43,16557,25.35,54.73,0.62,29.78,21.0,19.61,16.43,13.19,Republican,Democrat
Maricopa County,arizona,1040774,995665,4.9,5.9,22.1,23.1,9.0,21.9,13.1,0.4555,76.763,185.91,4420568,30.57,53.33,5.55,41.18,16.17,23.45,8.31,10.89,Democrat,Democrat
Mohave County,arizona,24831,78535,3.5,8.7,34.4,29.6,9.3,8.9,5.5,0.4622,73.093,6.2,213267,16.0,75.1,0.97,29.58,23.62,23.23,9.14,14.42,Republican,Democrat
Navajo County,arizona,23383,27657,5.0,9.4,29.9,28.6,9.9,10.1,7.2,0.4536,63.992,4.16,106717,10.2,41.97,0.63,34.63,20.69,20.91,12.58,11.19,Republican,Democrat
Pima County,arizona,304981,207758,4.2,6.3,21.5,24.2,8.8,20.0,15.0,0.4679,88.437,43.8,1043433,35.73,51.45,3.47,39.9,20.01,22.29,8.54,9.26,Democrat,Democrat
Pinal County,arizona,75106,107077,4.4,7.1,30.7,26.2,10.1,14.4,7.0,0.4199,92.354,31.18,425264,28.58,56.44,4.87,33.4,19.32,22.0,11.4,13.88,Republican,Democrat
Santa Cruz County,arizona,13138,6194,10.0,12.0,25.4,20.0,9.1,14.0,9.5,0.4635,71.305,14.94,47669,83.14,14.93,0.24,26.45,19.89,27.05,9.88,16.72,Democrat,Democrat
Yavapai County,arizona,49602,91527,2.1,5.7,25.4,28.6,9.4,17.0,11.7,0.4482,83.305,11.3,236209,14.56,77.6,0.6,33.78,20.86,23.55,11.78,10.04,Republican,Democrat
Yuma County,arizona,32210,36534,12.4,11.4,26.4,24.8,8.5,10.7,5.7,0.4574,74.377,14.31,203881,63.76,29.98,1.71,27.09,21.36,20.1,15.61,15.84,Republican,Democrat
Arkansas County,arkansas,1818,4304,4.3,9.7,42.5,15.3,12.4,10.4,5.4,0.4412,70.59,6.63,17149,3.71,67.5,24.13,31.56,15.29,17.99,12.39,22.77,Republican,Republican
Ashley County,arkansas,2125,5548,5.6,8.6,48.4,19.8,6.1,8.2,3.3,0.5126,64.449,7.93,19062,5.84,66.55,24.36,26.96,19.44,17.55,12.3,23.74,Republican,Republican
Baxter County,arkansas,4635,15836,2.4,8.0,35.2,24.6,11.7,12.5,5.6,0.4592,66.193,29.14,41627,2.54,91.4,0.21,31.46,14.66,21.03,9.12,23.73,Republican,Republican
Benton County,arkansas,42249,73965,4.8,5.0,28.8,18.9,7.0,22.9,12.6,0.4565,76.763,130.5,284333,17.77,67.44,1.59,39.55,13.93,22.35,9.37,14.8,Republican,Republican
Boone County,arkansas,3064,13652,3.1,6.3,34.9,28.0,11.1,11.0,5.6,0.4477,69.322,24.66,37373,2.6,90.31,0.26,31.02,16.08,24.72,9.34,18.83,Republican,Republican
Bradley County,arkansas,1214,2335,5.1,9.1,47.1,20.0,6.2,8.7,3.8,0.4717,57.798,6.22,10545,14.94,54.13,27.7,34.98,13.38,16.34,12.04,23.26,Republican,Republican
Calhoun County,arkansas,479,1636,2.3,12.4,45.4,18.6,8.8,7.7,4.9,0.3919,65.273,2.93,4739,2.68,73.83,19.27,21.61,14.61,23.01,21.97,18.81,Republican,Republican
Carroll County,arkansas,4023,7424,8.3,5.9,35.9,20.6,7.9,14.5,6.9,0.4498,71.631,17.38,28260,15.24,74.93,0.31,29.49,14.08,18.6,18.05,19.77,Republican,Republican
Chicot County,arkansas,2260,1752,5.8,14.5,37.9,19.4,4.8,12.6,5.0,0.5559,61.443,6.2,10208,5.69,38.08,52.77,28.14,15.07,23.43,15.49,17.87,Democrat,Republican
Clark County,arkansas,3438,4616,3.3,7.0,31.2,26.3,5.8,17.4,9.1,0.4502,63.424,9.57,21446,5.09,65.71,23.63,28.92,24.91,19.86,9.15,17.16,Republican,Republican
Clay County,arkansas,962,4086,5.9,9.8,41.1,19.3,8.5,8.7,6.7,0.4523,61.486,8.78,14552,2.25,93.28,0.27,31.05,15.36,19.37,12.06,22.16,Republican,Republican
Cleburne County,arkansas,1988,10328,4.4,7.7,39.4,22.1,9.2,11.4,5.8,0.4541,71.025,17.39,24711,2.56,92.06,0.23,29.7,16.59,21.32,12.57,19.82,Republican,Republican
Cleveland County,arkansas,651,2867,0.9,7.2,43.8,27.1,5.1,10.1,5.8,0.4511,68.293,4.87,7550,2.41,85.15,8.94,35.79,10.71,18.75,14.1,20.66,Republican,Republican
Columbia County,arkansas,2814,5500,3.5,8.2,41.5,21.2,6.6,13.3,5.7,0.5224,72.061,11.44,22801,3.39,58.05,34.36,31.47,16.31,17.67,9.37,25.18,Republican,Republican
Conway County,arkansas,2615,5694,3.8,7.0,43.2,17.7,9.2,14.1,5.0,0.4697,68.736,14.54,20715,4.28,77.95,10.57,32.36,17.86,16.03,14.95,18.8,Republican,Republican
Craighead County,arkansas,11921,25558,4.4,5.4,33.1,21.1,7.8,17.3,10.9,0.4934,80.561,60.63,111231,6.05,71.15,16.48,36.3,17.73,20.95,10.12,14.9,Republican,Republican
Crawford County,arkansas,4959,18607,4.2,10.3,34.4,22.3,8.4,14.5,5.8,0.4445,74.478,39.3,60133,7.59,79.2,1.43,29.89,16.93,21.77,10.5,20.9,Republican,Republican
Crittenden County,arkansas,8514,7333,4.7,9.7,36.3,23.3,8.3,12.5,5.2,0.4769,70.749,30.21,48163,2.96,39.34,53.58,32.37,17.23,19.54,9.31,21.55,Democrat,Republican
Cross County,arkansas,1772,4946,5.9,10.7,42.7,17.4,7.3,10.7,5.4,0.4748,68.838,10.54,16833,2.09,71.69,21.69,24.19,16.57,21.97,17.43,19.84,Republican,Republican
Dallas County,arkansas,963,1573,3.8,7.7,48.4,20.7,6.3,8.7,4.3,0.4456,58.645,3.74,6482,3.1,52.84,39.83,28.89,21.13,13.4,5.06,31.52,Republican,Republican
Desha County,arkansas,2016,1921,9.7,11.3,43.7,19.7,2.5,8.3,4.8,0.4552,51.673,5.88,11395,6.78,41.53,47.26,30.42,20.06,17.57,13.73,18.22,Democrat,Republican
Drew County,arkansas,2426,4349,3.2,9.5,36.0,19.9,6.4,17.0,8.0,0.4952,66.829,8.06,17350,3.78,64.25,27.75,39.7,17.62,16.27,11.04,15.37,Republican,Republican
Faulkner County,arkansas,18347,34421,3.0,4.0,29.7,22.7,8.2,20.2,12.3,0.4638,80.941,74.33,123498,5.5,74.96,11.56,41.32,16.85,19.91,9.08,12.85,Republican,Republican
